barcode,price,active,quantity
8964002474578,170,0,0
8964002474561,170,0,0
786905045826,750,0,3
116210,3745.31,0,0
BAAZI,250,0,1
6291101522568,170.66,0,1
788364382290,100,0,2
8964000982440,325,0,3
8964002993291,350,0,3
117363,320,1,14
109487,10.33333333,1,30
3577875120463,80,0,-2
3570241726436,100,0,0
570108726435,100,0,-1
3570169726433,250,1,4
3570201726438,470,1,9
3374014746436,150,0,0
3570016726432,250,1,7
2572726755239,50,0,1
135894635004,150,1,7
3572278677200,130,1,11
135894634380,110,0,-4
135894634434,210,0,-7
114727,150,0,0
135894634410,75,1,7
1574653365629,45,0,-16
135894634373,110,0,-10
3570006726435,100,0,-1
135894634397,150,0,1
135894634915,110,1,13
3577225322004,190,0,2
3570019726439,110,1,17
3570018726430,220,0,3
3570136726435,880,1,11
3570242726435,130,0,0
101593,70,1,6
102188,120,1,6
102010,85,0,0
101843,110,0,0
3570071726439,100,0,0
3570053726433,200,0,0
3570137726434,880,0,2
135894634908,50,0,-14
2577827372866,20,0,-3
3570133726438,210,1,4
3575272462506,210,0,3
102272,350,0,2
135894634892,40,1,6
102453,210,1,6
103486,251,0,0
102210,150,1,5
102221,150,1,16
102208,150,0,-2
102222,150,0,1
1358946045302,142,1,8
102211,150,1,19
116188,142,0,3
102216,142,0,0
102209,142,1,4
102217,142,0,0
102218,150,1,4
102219,142,1,6
102212,150,0,-77
1357946682890,220,0,0
102454,210,1,8
103042,210,0,1
102455,190,0,3
102456,200,0,2
102457,210,0,2
102458,200,1,4
102459,200,0,3
3570002726439,320,1,10
3570037726435,170,0,-2
8964000456873,210,0,2
3570185726431,160,0,0
3570168726434,210,1,15
2572726771840,120,1,23
102388,160,1,11
1357946055502,135,1,11
3570170726439,210,1,13
2252872253352,40,0,0
135894634243,150,0,-5
135894635011,90,0,-3
102220,142,1,9
102430,150,1,16
102431,150,1,5
102213,150,1,6
102214,142,1,18
102223,142,1,16
1358946343354,150,1,5
102566,220,1,7
3570023726432,260,1,7
102958,260,1,6
3570001726430,210,0,2
2572784251407,180,0,-1
3570004726437,70,0,-2
3570236726434,50,1,14
1357946055601,100,1,8
3570021726595,170,0,3
3570021726557,170,0,3
103545,226,0,0
3426366370088,150,1,13
3426366370071,210,0,3
3426366370033,110,1,5
3426366370019,75,1,11
8964506589266,110,0,3
95306507544,150,0,1
953066541645,100,0,2
8964506589259,45,0,3
8965232148758,20,0,-2
8961101788599,30,0,0
8961003021749,50,0,-6
8961003021732,50,1,5
8961003669286,40,0,1
8961003041747,10,0,0
8961003664366,20,1,13
8961101780975,40,0,-14
769503786599,50,0,1
8961100282777,40,1,19
8961100287819,40,0,3
8961100281862,40,1,5
8961003662249,40,0,-1
9333638552261,80,0,0
107948,170,1,6
107941,130,0,0
8963341001001,180,1,4
6975896429935,120,1,12
109144,20,1,21
110437,30,0,0
111524,40,1,7
112730,70,1,5
119043,143,0,2
108978,10.5,1,20
105775,560,1,9
117064,260,1,6
113897,99,1,6
1860074013622,100,1,5
113576,1150,1,4
101504,30,0,0
101505,30,0,0
106288,224.08,0,-1
112607,6.0344,1,111
102550,140,1,12
104126,645,0,0
103561,300,0,0
104296,560,0,0
104654,765,1,24
104181,775,0,0
104465,1075,0,0
114868,150,1,10
382903204779,28.5,0,-13
382903204700,28.5,0,-119
382903204717,28.5,0,-12
112596,59.885,0,0
8961103502872,50,1,9
8961102505867,10,1,5
8961102505881,20,0,-6
119349,300,1,13
106994,1050,0,0
108573,13.52,1,29
108149,9.05,1,211
110483,9,0,0
113589,37.5,0,0
112222,24,1,42
106551,400,1,4
8964003083076,2300,0,0
8964003083090,2300,0,-1
8964003083052,2300,0,2
8964003083298,2300,0,1
105941,60,0,0
7622210427472,50,0,0
95010526,320,1,4
110543,27.12,0,0
108385,29.51428571,0,0
112203,22.2,1,6
109234,28.13,0,0
112998,1425,0,0
114760,30,0,0
115098,260,1,5
115113,69.81,0,0
105934,79.22,0,0
106043,149,0,0
106066,152.44,0,2
115281,65.24,0,3
107429,92.16,0,2
105968,125,1,5
107681,125,0,-6
105933,121.55,0,2
107767,115,0,3
107675,99,1,4
106033,121.55,0,0
113051,1.6827,1,144
105438,55,0,0
105439,116.99,1,6
107330,37.84,0,0
107333,40,0,0
109396,4.0549,1,72
106007,110.78,0,-1
